,index,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster_x,PC1,PC2,PCA_EuclidianDist(Xsign),1th_Boundary
994,994,38,280508,False,0.603,0.839,9,-7.021,1,0.0519,0.442,4.16e-06,0.871,0.611,89.369,34,0.33169169838863566,0.19670296520391725,0.6140499071690093,1
995,995,40,234506,False,0.55,0.906,9,-6.611,1,0.038,0.00417,1.77e-05,0.439,0.664,109.536,21,0.2391538431007546,-0.056381499109179445,0.49239248132159374,1
996,996,37,103413,False,0.433,0.225,7,-12.011,1,0.0537,0.882,0.00125,0.127,0.509,87.886,46,0.5077117128895099,0.6348582052707888,0.9885200962295113,1
997,997,39,244586,False,0.427,0.564,2,-10.231,1,0.0324,0.558,0.00189,0.797,0.474,102.119,32,0.47414207284050447,0.23275523161880912,0.7606291734502878,1
998,998,39,366760,False,0.434,0.777,2,-9.252,0,0.103,0.538,0.0,0.935,0.405,103.038,63,-0.5153283101439047,0.35175924599783087,-0.4406060363962148,-1
999,999,39,355760,False,0.477,0.437,5,-12.441,1,0.0406,0.46,0.0,0.0962,0.248,103.162,55,0.40317222600142943,0.22915372655890465,0.6922032846032267,1
1000,1000,90,196784,False,0.572,0.839,4,-5.083,0,0.0377,0.013,0.00976,0.522,0.465,143.969,78,-0.6668642224059044,0.1257101219767295,-0.4354064936234685,-1
1001,1001,92,183956,False,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,80,-0.5365802158238397,0.3734168381364457,-0.4707104790690973,-1
1002,1002,93,240400,False,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,6,0.17918987986859902,-0.07435302514815745,0.43558274223194954,1
1003,1003,96,148485,False,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,28,0.3813462689722181,0.04319304441569344,0.6328220527376053,1
1004,1004,70,287573,False,0.78,0.46,6,-7.516,1,0.0851,0.455,0.000141,0.061,0.788,124.007,51,0.42127640617096807,0.4454132862685757,0.8056084713223804,1
1005,1005,85,237720,False,0.671,0.673,11,-6.941,0,0.0444,0.148,5.29e-05,0.304,0.494,121.963,72,-0.7057939471345367,0.40551164206563267,-0.6100719745204222,-1
1006,1006,77,232906,False,0.606,0.799,9,-4.452,1,0.0261,0.0128,0.0,0.15,0.638,103.014,6,0.22630876233898423,0.0031412519685577456,0.47631912049048053,1
1007,1007,67,233630,False,0.512,0.695,4,-6.349,1,0.0271,0.0265,0.00815,0.146,0.351,145.957,26,0.28989864335041415,-0.12896366089167782,0.5550875344683948,1
1008,1008,81,285120,False,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,25,0.2690559836524564,0.13168047843731828,0.5354987045426909,1
